S. No.,Region,State/Districts,Actual(mm),Normal(mm),% Dep.,Rainfall_Status,Rainfall_Health_Score,Region_Encoded,District_Encoded,Target,Predicted_Target,Predicted_Status,Actual_Status
1,East Rajasthan,Ajmer,421.0,429.6,-2,Normal,0.9799813780260707,0,0,2,2,Normal,Normal
2,East Rajasthan,Alwar,518.1,555.3,-7,Normal,0.9330091842247435,0,1,2,2,Normal,Normal
3,East Rajasthan,Banswara,808.3,831.8,-3,Normal,0.9717480163500841,0,2,2,2,Normal,Normal
4,East Rajasthan,Baran,946.6,792.2,19,Normal,1.1949002777076496,0,3,2,2,Normal,Normal
5,East Rajasthan,Bharatpur,755.4,557.6,35,Excess,1.3547345767575323,0,5,1,2,Normal,Excess
6,East Rajasthan,Bhilwara,606.7,580.9,4,Normal,1.0444138405921846,0,6,2,2,Normal,Normal
7,East Rajasthan,Bundi,608.4,655.9,-7,Normal,0.9275804238450983,0,8,2,2,Normal,Normal
8,East Rajasthan,Chittorgarh,706.8,709.7,0,Normal,0.9959137663801605,0,9,2,2,Normal,Normal
9,East Rajasthan,Dausa,592.8,612.1,-3,Normal,0.9684692043783695,0,11,2,2,Normal,Normal
10,East Rajasthan,Dholpur,708.2,650.0,9,Normal,1.0895384615384616,0,12,2,2,Normal,Normal
11,East Rajasthan,Dungarpur,761.8,637.8,19,Normal,1.1944183129507684,0,13,2,2,Normal,Normal
12,East Rajasthan,Jaipur,508.6,524.6,-3,Normal,0.9695005718642775,0,15,2,2,Normal,Normal
13,East Rajasthan,Jhalawar,958.5,855.1,12,Normal,1.1209215296456554,0,18,2,2,Normal,Normal
14,East Rajasthan,Jhunjhunu,402.1,410.0,-2,Normal,0.9807317073170733,0,19,2,2,Normal,Normal
15,East Rajasthan,Karauli,591.8,637.4,-7,Normal,0.9284593661750863,0,21,2,2,Normal,Normal
16,East Rajasthan,Kota,719.4,746.3,-4,Normal,0.9639555138684176,0,22,2,2,Normal,Normal
17,East Rajasthan,Pratapgarh,1135.0,845.8,34,Excess,1.3419248049184205,0,25,1,1,Excess,Excess
18,East Rajasthan,Rajsamand,514.4,506.0,2,Normal,1.016600790513834,0,26,2,2,Normal,Normal
19,East Rajasthan,Sawai Madhopur,1008.7,664.0,52,Excess,1.5191265060240964,0,27,1,1,Excess,Excess
20,East Rajasthan,Sikar,565.6,402.5,41,Excess,1.405217391304348,0,28,1,1,Excess,Excess
21,East Rajasthan,Sirohi,409.0,868.6,-53,Deficient,0.47087266866221505,0,29,0,0,Deficient,Deficient
22,East Rajasthan,Tonk,512.3,566.0,-9,Normal,0.9051236749116607,0,31,2,2,Normal,Normal
23,East Rajasthan,Udaipur,562.3,591.3,-5,Normal,0.9509555217317774,0,32,2,2,Normal,Normal
1,West Rajasthan,Barmer,123.2,243.4,-49,Deficient,0.5061626951520132,1,4,0,0,Deficient,Deficient
2,West Rajasthan,Bikaner,259.1,228.7,13,Normal,1.1329252295583736,1,7,2,2,Normal,Normal
3,West Rajasthan,Churu,324.4,313.7,3,Normal,1.0341090213579853,1,10,2,2,Normal,Normal
4,West Rajasthan,Hanumangarh,138.1,252.5,-45,Deficient,0.5469306930693069,1,14,0,0,Deficient,Deficient
5,West Rajasthan,Jaisalmer,110.5,158.4,-30,Deficient,0.69760101010101,1,16,0,0,Deficient,Deficient
6,West Rajasthan,Jalore,155.9,394.2,-60,Deficient,0.39548452562151193,1,17,0,0,Deficient,Deficient
7,West Rajasthan,Jodhpur,232.0,274.5,-15,Normal,0.8451730418943534,1,20,2,2,Normal,Normal
8,West Rajasthan,Nagaur,287.1,348.5,-18,Normal,0.823816355810617,1,23,2,2,Normal,Normal
9,West Rajasthan,Pali,316.9,446.7,-29,Deficient,0.7094246698007611,1,24,0,0,Deficient,Deficient
10,West Rajasthan,Sri Ganganagar,172.4,201.4,-14,Normal,0.8560079443892751,1,30,2,2,Normal,Normal
